Sequence_ID	JMF-2002-2-0001A	JMF-2002-2-0002A	JMF-2002-2-0003A	JMF-2002-2-0004A	JMF-2002-2-0005A	JMF-2002-2-0006A	JMF-2002-2-0007A	JMF-2002-2-0008A	JMF-2002-2-0009A	JMF-2002-2-0010A	JMF-2002-2-0011A	JMF-2002-2-0012A	JMF-2002-2-0013A	JMF-2002-2-0014A	JMF-2002-2-0015A	JMF-2002-2-0016A	JMF-2002-2-0017A	JMF-2002-2-0018A	JMF-2002-2-0018B	JMF-2002-2-0019A	JMF-2002-2-0020A	JMF-2002-2-0021A	JMF-2002-2-0021B	JMF-2002-2-0022A	JMF-2002-2-0022B	JMF-2002-2-0023A	JMF-2002-2-0024A	JMF-2002-2-0025A	JMF-2002-2-0026A	JMF-2002-2-0027A	JMF-2002-2-0028A	JMF-2002-2-0029A	JMF-2002-2-0030A	JMF-2002-2-0031A
ASV_jbc_4sr	0	0	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	4	1	1	0	0	0	0	2	0
ASV_jd0_ucw	0	4	0	2	0	0	4	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_jdi_64p	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV_jdz_sko	13	1	1	1	1	1	2	0	0	7	1	0	1	1	0	0	6	1	0	0	1	3	0	0	0	4	0	0	2	3	4	6	2	0
ASV_jg2_1zn	0	5	18	1	0	0	0	1	42	0	1	7	32	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0
ASV_jgu_0p4	0	1	7	0	1	0	0	0	51	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_jhn_osd	0	0	4	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_jkf_4cz	0	5	0	0	0	0	1	0	0	0	5	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_jlc_2yo	21	19	2	21	9	2	10	6	2	23	18	4	3	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV_jm0_s4j	13	5	6	13	0	13	8	4	2	3	5	14	7	1	2	3	7	5	0	8	9	3	0	0	0	2	13	15	6	23	1	13	9	0
ASV_joy_wul	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_jqj_t1z	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	3	0	0	0	0	0	3	0	0	6	2	6	1	1	0
ASV_jqw_ny5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0
